# theta values for 4
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.840889579772787332e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.940440697435485140e-01,3.141025641025640969e+00,1.707632631589927952e+00
-2.979297812534923984e-01,5.506410256410256387e+00,3.599317590007994561e+00
-3.098473426830636868e-01,5.788461538461538325e+00,3.123545026179708195e+00
-5.257326659240323385e-01,4.500000000000000000e+00,2.191182797322498654e+00
-1.521172784870329919e-01,4.961538461538461675e+00,3.206333106854379000e+00
-2.748173857469479731e-01,6.006410256410256387e+00,2.894505836376544572e+00
6.046977041649980178e-01,6.705128205128205288e+00,3.270336665641684348e+00
-5.576890126705850298e-02,3.724358974358974450e+00,2.055554444977222062e+00
-2.045759665399972949e-01,3.487179487179487225e+00,1.460976050134431103e+00
-2.260566531396307755e-01,2.878205128205128194e+00,1.287727817623504745e+00
-6.919987817481607628e-01,2.634615384615384581e+00,1.405513586492352474e+00
-2.503335748935056615e-01,2.730769230769230838e+00,1.473466842683998967e+00
5.330053183180967213e-01,3.397435897435897356e+00,1.603999357293684591e+00
-4.525212425336400668e-01,4.576923076923076650e+00,1.743259772698401155e+00
-2.465908852557237019e-01,3.448717948717948900e+00,1.345909623755944695e+00
-1.802325752427725858e-01,3.724358974358974450e+00,1.607569107453851620e+00
8.180513013694695745e-01,3.506410256410256387e+00,1.715303646856860986e+00
7.271573174578704890e-01,3.820512820512820706e+00,1.943058583803392247e+00
-5.856663227884616463e-01,3.397435897435897356e+00,2.150371128312646540e+00
-2.714297512797304579e-01,3.102564102564102644e+00,1.729011453075201876e+00
