# theta values for 9
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.323175170770052311e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.497409981314950789e-01,3.458333333333333481e+00,1.888837826107189422e+00
-6.544861518838092085e-01,4.909722222222222321e+00,1.815875953471233428e+00
-2.266723337927579671e-02,3.798611111111111160e+00,1.861823557665049922e+00
-3.000944627071968837e-02,4.138888888888889284e+00,2.189340055026447907e+00
3.934604162152897100e-01,3.284722222222222321e+00,2.327860231236583477e+00
-5.970430520689973264e-01,2.555555555555555358e+00,1.116652846791210019e+00
6.129614871378278318e-01,2.798611111111111160e+00,1.004018738143471978e+00
-4.473155933046197297e-01,1.840277777777777679e+00,7.232564709973261508e-01
-4.685642549504699939e-01,2.128472222222222321e+00,6.928366805352195179e-01
9.773473625923158048e-01,2.319444444444444642e+00,6.836663596799426035e-01
-6.020988715433088778e-01,2.052083333333333481e+00,8.823476221925737883e-01
-3.976703530891969596e-01,2.496527777777777679e+00,9.501398431023811986e-01
2.657372205422874334e-01,3.399305555555555358e+00,1.042632653948765808e+00
