# theta values for 2
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.932366261500330307e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.157646881517179871e-01,3.458333333333333481e+00,1.888837826107189422e+00
-1.360180894942007723e-01,4.909722222222222321e+00,1.815875953471233428e+00
-4.703459541661004217e-01,3.798611111111111160e+00,1.861823557665049922e+00
4.048292856695958619e-01,4.138888888888889284e+00,2.189340055026447907e+00
-2.371327333087218936e-01,3.284722222222222321e+00,2.327860231236583477e+00
2.172801286597825232e-01,2.555555555555555358e+00,1.116652846791210019e+00
-6.043957315053923862e-01,2.798611111111111160e+00,1.004018738143471978e+00
9.510972975602586255e-01,1.840277777777777679e+00,7.232564709973261508e-01
-1.464513998698091513e+00,2.128472222222222321e+00,6.928366805352194069e-01
-1.527091851935123978e-01,2.319444444444444642e+00,6.836663596799427145e-01
-5.834097801036549624e-01,2.052083333333333481e+00,8.823476221925737883e-01
-3.515605197131647652e-01,2.496527777777777679e+00,9.501398431023811986e-01
1.392835882374683587e+00,3.399305555555555358e+00,1.042632653948765808e+00
