# theta values for 6
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.271214957635456777e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.539601565555136831e-01,4.228882833787466211e+00,1.909943749946959146e+00
1.726889268389462939e-01,5.756130790190735702e+00,2.445411487928308869e+00
7.467780945724865616e-01,5.712534059945504339e+00,1.998754614518226447e+00
-1.008427718790176064e-01,5.396457765667574513e+00,2.429280623211099055e+00
-5.062835620165158090e-01,5.659400544959128254e+00,2.801043532732271579e+00
6.198960131797126571e-01,6.051771117166212299e+00,3.135459650093972428e+00
7.895107555431508939e-02,3.322888283378746532e+00,1.106381955346401602e+00
-2.019341960825010163e-01,4.614441416893733106e+00,9.452930293925561056e-01
-2.309459107519541976e-01,2.482288828337874786e+00,7.629622418693113861e-01
-9.633009215768484346e-01,2.505449591280653809e+00,7.997600130799434881e-01
1.391910463748783133e+00,3.143051771117166382e+00,1.169538186433788818e+00
6.014099076100207775e-01,3.513623978201634745e+00,1.242615111920531534e+00
1.521364743594842139e-01,2.944141689373296789e+00,1.182703346609858874e+00
9.683884756794366999e-02,2.506811989100817595e+00,1.150444731003327448e+00
6.783423935138411798e-01,3.162125340599454937e+00,1.478136338793161197e+00
4.546716511890892820e-02,4.610354223433242637e+00,1.351435460420168377e+00
