# theta values for 5
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.750781466708513534e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.381042084597190245e-01,3.141025641025640969e+00,1.707632631589927952e+00
1.641506982668169135e-01,5.506410256410256387e+00,3.599317590007994561e+00
-6.290952045734009290e-02,5.788461538461538325e+00,3.123545026179708195e+00
1.931855316455509952e-01,4.500000000000000000e+00,2.191182797322498654e+00
-4.667832965181453048e-02,4.961538461538461675e+00,3.206333106854379000e+00
3.659282645951643653e-01,6.006410256410256387e+00,2.894505836376544572e+00
-2.050480852944813470e-01,6.705128205128205288e+00,3.270336665641684348e+00
-1.183756001563804894e+00,3.724358974358974450e+00,2.055554444977221618e+00
4.090461079336354389e-01,3.487179487179487225e+00,1.460976050134431103e+00
1.126198484024594659e+00,2.878205128205128194e+00,1.287727817623504745e+00
-4.600640454101157517e-01,2.634615384615384581e+00,1.405513586492352474e+00
-4.879111744559965769e-01,2.730769230769230838e+00,1.473466842683998967e+00
6.947750266691281595e-01,3.397435897435897356e+00,1.603999357293684591e+00
1.227828004964251069e-01,4.576923076923076650e+00,1.743259772698401155e+00
-2.898114014324770227e-01,3.448717948717948900e+00,1.345909623755944695e+00
1.451358487281827481e-01,3.724358974358974450e+00,1.607569107453851620e+00
1.257253098125438347e-02,3.506410256410256387e+00,1.715303646856860986e+00
-1.127084336207925530e-01,3.820512820512820706e+00,1.943058583803392247e+00
-2.071097340207862236e-01,3.397435897435897356e+00,2.150371128312646540e+00
-1.899057122764619132e-01,3.102564102564102644e+00,1.729011453075201876e+00
