# theta values for 4
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.012258971375386452e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.861584817339010170e-02,3.458333333333333481e+00,1.888837826107189422e+00
-2.525001494404540137e-01,4.909722222222222321e+00,1.815875953471233428e+00
-2.588001376151116695e-01,3.798611111111111160e+00,1.861823557665049700e+00
3.439223189801951519e-01,4.138888888888889284e+00,2.189340055026447907e+00
-1.541931600884243747e-01,3.284722222222222321e+00,2.327860231236583477e+00
-5.086261883800433647e-01,2.555555555555555358e+00,1.116652846791210019e+00
-2.685434232839657431e-01,2.798611111111111160e+00,1.004018738143471978e+00
2.916266294099585377e-01,1.840277777777777679e+00,7.232564709973261508e-01
-3.473176034779096311e-01,2.128472222222222321e+00,6.928366805352194069e-01
1.445997283697920410e-01,2.319444444444444642e+00,6.836663596799427145e-01
1.185498113320048175e+00,2.052083333333333481e+00,8.823476221925737883e-01
-3.211229554347490578e-01,2.496527777777777679e+00,9.501398431023811986e-01
-5.313101725379427709e-01,3.399305555555555358e+00,1.042632653948765808e+00
