# theta values for 9
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.690743311283087191e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.749859764333172141e-01,4.228882833787466211e+00,1.909943749946959146e+00
-2.132880908689588351e-01,5.756130790190735702e+00,2.445411487928309313e+00
-4.440913901077873094e-01,5.712534059945504339e+00,1.998754614518226225e+00
1.820963384134180463e-01,5.396457765667574513e+00,2.429280623211099055e+00
-9.908964139574010233e-01,5.659400544959128254e+00,2.801043532732271579e+00
4.195588648541715426e-01,6.051771117166212299e+00,3.135459650093972428e+00
-4.186507708285948093e-01,3.322888283378746532e+00,1.106381955346401602e+00
8.742173753776665279e-01,4.614441416893733106e+00,9.452930293925561056e-01
7.414693736162992765e-01,2.482288828337874786e+00,7.629622418693114971e-01
3.692805470316684047e-01,2.505449591280653809e+00,7.997600130799434881e-01
-4.426630549040843632e-01,3.143051771117166382e+00,1.169538186433789040e+00
1.317681952047824900e+00,3.513623978201634745e+00,1.242615111920531090e+00
-5.418556174816217819e-02,2.944141689373296789e+00,1.182703346609858652e+00
-1.667899003523639845e+00,2.506811989100817595e+00,1.150444731003327670e+00
-1.001352652627454098e+00,3.162125340599454937e+00,1.478136338793161197e+00
2.689213928891601713e-01,4.610354223433242637e+00,1.351435460420168599e+00
