# theta values for 0
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.718514480436317271e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.246776687708393450e+00,4.228882833787466211e+00,1.909943749946959146e+00
5.994316243276773815e-01,5.756130790190735702e+00,2.445411487928308869e+00
-8.226333044801731331e-01,5.712534059945504339e+00,1.998754614518226447e+00
-9.002567843509342582e-01,5.396457765667574513e+00,2.429280623211099055e+00
-9.892974254189302874e-01,5.659400544959128254e+00,2.801043532732271579e+00
6.031776139542561338e-02,6.051771117166212299e+00,3.135459650093972872e+00
-7.925758156143130062e-01,3.322888283378746532e+00,1.106381955346401602e+00
-5.467455197535738831e-01,4.614441416893733106e+00,9.452930293925561056e-01
4.483971928086380454e-01,2.482288828337874786e+00,7.629622418693114971e-01
2.792675848478553546e-01,2.505449591280653809e+00,7.997600130799434881e-01
-6.823981560335657948e-01,3.143051771117166382e+00,1.169538186433789040e+00
-9.798882885582764768e-01,3.513623978201634745e+00,1.242615111920531312e+00
-6.515767272732930770e-01,2.944141689373296789e+00,1.182703346609858874e+00
1.382053104092800522e-01,2.506811989100817595e+00,1.150444731003327670e+00
5.639521855723260702e-01,3.162125340599454937e+00,1.478136338793161197e+00
4.142307791157626151e-02,4.610354223433242637e+00,1.351435460420168377e+00
