# theta values for 3
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.972395978745138390e+00,0.000000000000000000e+00,1.000000000000000000e+00
-9.847996807496729454e-01,3.458333333333333481e+00,1.888837826107189422e+00
-6.415379709352536652e-01,4.909722222222222321e+00,1.815875953471233428e+00
5.866162843902681390e-01,3.798611111111111160e+00,1.861823557665049700e+00
1.199704542950871033e+00,4.138888888888889284e+00,2.189340055026447907e+00
1.188361420982381872e-01,3.284722222222222321e+00,2.327860231236583033e+00
1.211833289362466114e-02,2.555555555555555358e+00,1.116652846791210019e+00
-1.073476950426767093e-02,2.798611111111111160e+00,1.004018738143471978e+00
6.764105989912170269e-01,1.840277777777777679e+00,7.232564709973261508e-01
1.309769357222681396e+00,2.128472222222222321e+00,6.928366805352194069e-01
-8.521802693814081175e-01,2.319444444444444642e+00,6.836663596799427145e-01
-5.010711551465759639e-01,2.052083333333333481e+00,8.823476221925737883e-01
2.621121351966009816e-01,2.496527777777777679e+00,9.501398431023811986e-01
3.323749519382249162e-01,3.399305555555555358e+00,1.042632653948765808e+00
