# theta values for 0
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-2.295507567017570416e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.498314697373087201e-01,3.458333333333333481e+00,1.888837826107189422e+00
-1.707416338169399361e-01,4.909722222222222321e+00,1.815875953471233650e+00
-5.463570119936931313e-01,3.798611111111111160e+00,1.861823557665049922e+00
-2.508348807870106056e-01,4.138888888888889284e+00,2.189340055026447907e+00
8.317431519074726110e-01,3.284722222222222321e+00,2.327860231236583477e+00
-8.657627441607801400e-02,2.555555555555555358e+00,1.116652846791210019e+00
1.055340282368737226e+00,2.798611111111111160e+00,1.004018738143471978e+00
1.741597497457610944e-01,1.840277777777777679e+00,7.232564709973261508e-01
-2.838538973728206294e-01,2.128472222222222321e+00,6.928366805352194069e-01
-1.108683214503564995e+00,2.319444444444444642e+00,6.836663596799427145e-01
4.522980089328436093e-01,2.052083333333333481e+00,8.823476221925737883e-01
1.586593542585103433e+00,2.496527777777777679e+00,9.501398431023811986e-01
-3.604885630183379819e-01,3.399305555555555358e+00,1.042632653948765808e+00
