# theta values for 3
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.000401472687298288e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.045334498044392380e+00,3.141025641025640969e+00,1.707632631589927952e+00
-5.344817739814937685e-01,5.506410256410256387e+00,3.599317590007994561e+00
-2.449292248709200592e-01,5.788461538461538325e+00,3.123545026179708195e+00
5.467507487667883082e-01,4.500000000000000000e+00,2.191182797322498654e+00
3.971954264992278993e-01,4.961538461538461675e+00,3.206333106854379000e+00
4.568753013363888726e-01,6.006410256410256387e+00,2.894505836376544572e+00
8.408660526987196682e-02,6.705128205128205288e+00,3.270336665641684348e+00
6.839852841488612833e-01,3.724358974358974450e+00,2.055554444977222062e+00
-8.128757151340419707e-02,3.487179487179487225e+00,1.460976050134431103e+00
-9.351855438013227939e-01,2.878205128205128194e+00,1.287727817623504745e+00
-2.386572038390646910e-01,2.634615384615384581e+00,1.405513586492352474e+00
-2.105456757055139128e-01,2.730769230769230838e+00,1.473466842683998967e+00
-4.313154771492130890e-01,3.397435897435897356e+00,1.603999357293684591e+00
9.663471442184158322e-01,4.576923076923076650e+00,1.743259772698401378e+00
3.366122158682991472e-01,3.448717948717948900e+00,1.345909623755944695e+00
2.887030319440161974e-01,3.724358974358974450e+00,1.607569107453851620e+00
-5.744247001613300707e-01,3.506410256410256387e+00,1.715303646856860986e+00
-2.555511786509142014e-01,3.820512820512820706e+00,1.943058583803392247e+00
-3.507915515901887105e-01,3.397435897435897356e+00,2.150371128312646540e+00
2.387786494578488239e-01,3.102564102564102644e+00,1.729011453075201876e+00
