# theta values for 7
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.283172883054763957e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.170910238309576856e-01,3.141025641025640969e+00,1.707632631589927952e+00
1.070698749910714842e-01,5.506410256410256387e+00,3.599317590007994561e+00
-1.164568071347590050e-01,5.788461538461538325e+00,3.123545026179707751e+00
-1.897690539533560539e-01,4.500000000000000000e+00,2.191182797322498654e+00
-4.701369846796780161e-01,4.961538461538461675e+00,3.206333106854379000e+00
-3.755653582409105296e-01,6.006410256410256387e+00,2.894505836376544572e+00
9.033176106660593951e-03,6.705128205128205288e+00,3.270336665641684348e+00
4.740270372830732160e-01,3.724358974358974450e+00,2.055554444977221618e+00
6.509448110120451547e-01,3.487179487179487225e+00,1.460976050134431103e+00
-1.303616863150973970e-01,2.878205128205128194e+00,1.287727817623504745e+00
-5.646502509465878977e-02,2.634615384615384581e+00,1.405513586492352474e+00
-1.686472573048588830e-01,2.730769230769230838e+00,1.473466842683998967e+00
-4.433850040231881451e-01,3.397435897435897356e+00,1.603999357293684591e+00
-3.926564721880498876e-01,4.576923076923076650e+00,1.743259772698401155e+00
-2.880911172320781977e-01,3.448717948717948900e+00,1.345909623755944695e+00
-1.350362605104559431e-02,3.724358974358974450e+00,1.607569107453851620e+00
-3.167126419393413994e-01,3.506410256410256387e+00,1.715303646856860986e+00
-5.747903642825381576e-01,3.820512820512820706e+00,1.943058583803392247e+00
-1.906450418954334092e-01,3.397435897435897356e+00,2.150371128312646540e+00
-3.617927695262431742e-01,3.102564102564102644e+00,1.729011453075201654e+00
