# theta values for 1
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-2.265107362105318600e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.439075899437749051e-01,3.458333333333333481e+00,1.888837826107189422e+00
1.117174332461744468e+00,4.909722222222222321e+00,1.815875953471233650e+00
1.108916723845293051e+00,3.798611111111111160e+00,1.861823557665049700e+00
-1.026459788004091767e+00,4.138888888888889284e+00,2.189340055026447907e+00
-7.583498824828307505e-01,3.284722222222222321e+00,2.327860231236583477e+00
-9.759876450353457411e-01,2.555555555555555358e+00,1.116652846791210019e+00
3.161452664480003394e-01,2.798611111111111160e+00,1.004018738143471978e+00
-4.994763035378401578e-02,1.840277777777777679e+00,7.232564709973261508e-01
1.381458390317857610e-01,2.128472222222222321e+00,6.928366805352194069e-01
-5.325523133530352116e-01,2.319444444444444642e+00,6.836663596799427145e-01
1.689775413608980426e-01,2.052083333333333481e+00,8.823476221925737883e-01
3.056565658226468793e-02,2.496527777777777679e+00,9.501398431023811986e-01
3.163675463822503975e-01,3.399305555555555358e+00,1.042632653948765808e+00
