# theta values for 7
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.222829257297076921e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.583421421783197669e-01,3.458333333333333481e+00,1.888837826107189422e+00
-1.569502396650524767e-01,4.909722222222222321e+00,1.815875953471233428e+00
-3.496849319294346309e-02,3.798611111111111160e+00,1.861823557665049922e+00
-2.995523990617226517e-01,4.138888888888889284e+00,2.189340055026447907e+00
-6.932718988820785189e-01,3.284722222222222321e+00,2.327860231236583477e+00
4.778932639705275598e-01,2.555555555555555358e+00,1.116652846791210019e+00
-2.369736812449253771e-01,2.798611111111111160e+00,1.004018738143471978e+00
-1.552030315981136610e-01,1.840277777777777679e+00,7.232564709973261508e-01
-4.588648674975364106e-01,2.128472222222222321e+00,6.928366805352194069e-01
-2.535787220481709736e-02,2.319444444444444642e+00,6.836663596799426035e-01
-7.316018653194047427e-01,2.052083333333333481e+00,8.823476221925737883e-01
-1.817848027545323486e-01,2.496527777777777679e+00,9.501398431023811986e-01
-1.295420031956602269e+00,3.399305555555555358e+00,1.042632653948765808e+00
