# theta values for 1
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.303688308943596219e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.693343433849914592e-01,4.228882833787466211e+00,1.909943749946959146e+00
-4.229672262081691780e-01,5.756130790190735702e+00,2.445411487928308869e+00
1.193515638419560210e+00,5.712534059945504339e+00,1.998754614518226447e+00
5.390969327739472128e-01,5.396457765667574513e+00,2.429280623211098611e+00
-9.519102028050050457e-01,5.659400544959128254e+00,2.801043532732271579e+00
-4.280584379487015756e-01,6.051771117166212299e+00,3.135459650093972428e+00
-7.937572817630927924e-01,3.322888283378746532e+00,1.106381955346401602e+00
-6.047468988393166489e-01,4.614441416893733106e+00,9.452930293925561056e-01
4.028226370827274472e-02,2.482288828337874786e+00,7.629622418693114971e-01
4.123573010796738325e-02,2.505449591280653809e+00,7.997600130799434881e-01
-2.684731941816483336e-01,3.143051771117166382e+00,1.169538186433789040e+00
-2.213848248803810537e-01,3.513623978201634745e+00,1.242615111920531312e+00
-3.158687535510095734e-01,2.944141689373296789e+00,1.182703346609858652e+00
1.489531565461127138e-01,2.506811989100817595e+00,1.150444731003327670e+00
-2.317639818068417401e-01,3.162125340599454937e+00,1.478136338793161197e+00
4.868518215169636565e-01,4.610354223433242637e+00,1.351435460420168377e+00
