# theta values for 10
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.305266575842922272e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.807471794037052992e-01,3.141025641025640969e+00,1.707632631589927952e+00
-3.279876059231600083e-01,5.506410256410256387e+00,3.599317590007994561e+00
3.501365110402371306e-01,5.788461538461538325e+00,3.123545026179708195e+00
7.257701731575532111e-01,4.500000000000000000e+00,2.191182797322498654e+00
-1.018754317922751090e-01,4.961538461538461675e+00,3.206333106854378556e+00
-3.268761902692831067e-01,6.006410256410256387e+00,2.894505836376545016e+00
-1.943870868892286774e-01,6.705128205128205288e+00,3.270336665641684348e+00
9.415350738984866463e-02,3.724358974358974450e+00,2.055554444977221618e+00
2.789817298123018485e-01,3.487179487179487225e+00,1.460976050134431103e+00
1.312061743563097405e-01,2.878205128205128194e+00,1.287727817623504523e+00
-8.736879633661603917e-02,2.634615384615384581e+00,1.405513586492352474e+00
1.648294216336468054e-01,2.730769230769230838e+00,1.473466842683998967e+00
1.532938256238821073e-01,3.397435897435897356e+00,1.603999357293684813e+00
-1.197975432471636570e-01,4.576923076923076650e+00,1.743259772698401378e+00
8.386879142092903971e-02,3.448717948717948900e+00,1.345909623755944695e+00
-2.677617038575716979e-01,3.724358974358974450e+00,1.607569107453851620e+00
8.488098205174804400e-02,3.506410256410256387e+00,1.715303646856860986e+00
1.422604897513392586e-01,3.820512820512820706e+00,1.943058583803392247e+00
3.975607830078818627e-02,3.397435897435897356e+00,2.150371128312646540e+00
4.831071653045898029e-01,3.102564102564102644e+00,1.729011453075201654e+00
