# theta values for 9
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.113057083952443627e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.478480136645164977e-01,3.141025641025640969e+00,1.707632631589927952e+00
-1.004553995712153813e-01,5.506410256410256387e+00,3.599317590007994561e+00
-1.936728632912834980e-01,5.788461538461538325e+00,3.123545026179708195e+00
5.164180841536107625e-02,4.500000000000000000e+00,2.191182797322498654e+00
-1.520766809889921856e-01,4.961538461538461675e+00,3.206333106854379000e+00
-3.476117468586845671e-01,6.006410256410256387e+00,2.894505836376544572e+00
5.467326263344302051e-01,6.705128205128205288e+00,3.270336665641684348e+00
-1.356114016837297875e-01,3.724358974358974450e+00,2.055554444977222062e+00
-4.614193006998043023e-01,3.487179487179487225e+00,1.460976050134431103e+00
-2.572702746326571352e-02,2.878205128205128194e+00,1.287727817623504523e+00
1.725266820630187437e-01,2.634615384615384581e+00,1.405513586492352474e+00
5.118367349216665918e-01,2.730769230769230838e+00,1.473466842683998967e+00
2.720964761474831128e-01,3.397435897435897356e+00,1.603999357293684813e+00
2.090037762925648634e-01,4.576923076923076650e+00,1.743259772698401155e+00
6.304026667733707567e-01,3.448717948717948900e+00,1.345909623755944695e+00
-9.008824570079085881e-01,3.724358974358974450e+00,1.607569107453851842e+00
-6.104162773024194300e-01,3.506410256410256387e+00,1.715303646856860986e+00
-3.407551356918483432e-01,3.820512820512820706e+00,1.943058583803392469e+00
-3.263464613653213608e-01,3.397435897435897356e+00,2.150371128312646540e+00
-5.921541444463064296e-01,3.102564102564102644e+00,1.729011453075201654e+00
