# theta values for 8
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.316942352923490489e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.960685836496635082e-01,3.458333333333333481e+00,1.888837826107189422e+00
6.578225712300574957e-01,4.909722222222222321e+00,1.815875953471233650e+00
2.136994293064109762e-01,3.798611111111111160e+00,1.861823557665049922e+00
1.063459937251212684e-01,4.138888888888889284e+00,2.189340055026447907e+00
3.448335261721710565e-01,3.284722222222222321e+00,2.327860231236583477e+00
6.456919923625590307e-01,2.555555555555555358e+00,1.116652846791210019e+00
6.967789130223489558e-01,2.798611111111111160e+00,1.004018738143471978e+00
1.229063543761823363e+00,1.840277777777777679e+00,7.232564709973261508e-01
4.512746006897682682e-01,2.128472222222222321e+00,6.928366805352194069e-01
7.537256633597692046e-01,2.319444444444444642e+00,6.836663596799427145e-01
-2.716144466451229644e-01,2.052083333333333481e+00,8.823476221925737883e-01
-4.230816833293802870e-01,2.496527777777777679e+00,9.501398431023811986e-01
-2.284865521636017527e-01,3.399305555555555358e+00,1.042632653948765808e+00
