# collated theta values
# numCat,13
# numFeat,21
# dataType,cardVal
# catNames,2,3,4,5,6,7,8,9,10,J,Q,K,A
# theta 1,theta 2,theta 3,theta 4,theta 5,theta 6,theta 7,theta 8,theta 9,theta 10,theta 11,theta 12,theta 13,mu 1,mu 2,mu 3,mu 4,mu 5,mu 6,mu 7,mu 8,mu 9,mu 10,mu 11,mu 12,mu 13,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,sigma 6,sigma 7,sigma 8,sigma 9,sigma 10,sigma 11,sigma 12,sigma 13
4.194075054758186760e-01,-9.351855438013227939e-01,-2.260566531396307755e-01,1.126198484024594659e+00,-1.533436614670659337e-01,-1.303616863150973970e-01,-3.273897915663558367e-01,-2.572702746326571352e-02,1.312061743563097405e-01,-2.397664324548067494e-01,6.373422725246769005e-01,-1.804598178135566888e-01,-7.611813585730231591e-02,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,2.878205128205128194e+00,1.287727817623504745e+00,1.287727817623504745e+00,1.287727817623504745e+00,1.287727817623504745e+00,1.287727817623504745e+00,1.287727817623504745e+00,1.287727817623504523e+00,1.287727817623504523e+00,1.287727817623504523e+00,1.287727817623504745e+00,1.287727817623504523e+00,1.287727817623504745e+00,1.287727817623504523e+00
4.424290808250500029e-01,-2.386572038390646910e-01,-6.919987817481607628e-01,-4.600640454101157517e-01,-2.714367968559591726e-01,-5.646502509465878977e-02,4.584173816834167248e-01,1.725266820630187437e-01,-8.736879633661603917e-02,1.818125233997342216e-01,5.047369278814807236e-01,-3.058714356755672936e-01,6.877681345421249315e-01,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,2.634615384615384581e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352474e+00,1.405513586492352696e+00,1.405513586492352474e+00,1.405513586492352696e+00
3.080338116318243752e-02,-2.105456757055139128e-01,-2.503335748935056615e-01,-4.879111744559965769e-01,-4.271661773335865275e-01,-1.686472573048588830e-01,-2.208816263537538745e-03,5.118367349216665918e-01,1.648294216336468054e-01,2.905675565648841441e-01,3.290300938562789046e-01,-1.643817377682741665e-01,3.883427125285733861e-01,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,2.730769230769230838e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998745e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998967e+00,1.473466842683998745e+00,1.473466842683998523e+00,1.473466842683998745e+00,1.473466842683998523e+00
-2.606500867870581994e-01,-4.313154771492130890e-01,5.330053183180967213e-01,6.947750266691281595e-01,-7.124188074186104114e-01,-4.433850040231881451e-01,7.860416013443236594e-01,2.720964761474831128e-01,1.532938256238821073e-01,1.424781909180452000e-01,-2.474319085397991974e-02,1.733546111094979025e-01,-5.329461442819922734e-01,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684813e+00,1.603999357293684813e+00,1.603999357293684813e+00,1.603999357293684591e+00,1.603999357293684591e+00,1.603999357293684813e+00
-3.918701753423566303e-01,9.663471442184158322e-01,-4.525212425336400668e-01,1.227828004964251069e-01,5.913938624673308331e-01,-3.926564721880498876e-01,2.370481967670367285e-01,2.090037762925648634e-01,-1.197975432471636570e-01,-2.529757517662281074e-01,-3.644960187992579703e-01,3.051151728958824139e-01,2.589687700437085655e-02,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,4.576923076923076650e+00,1.743259772698401155e+00,1.743259772698401378e+00,1.743259772698401155e+00,1.743259772698401155e+00,1.743259772698401155e+00,1.743259772698401155e+00,1.743259772698401155e+00,1.743259772698401155e+00,1.743259772698401378e+00,1.743259772698401378e+00,1.743259772698400933e+00,1.743259772698401155e+00,1.743259772698401378e+00
-6.363749529486617540e-01,3.366122158682991472e-01,-2.465908852557237019e-01,-2.898114014324770227e-01,-2.610426966773718091e-02,-2.880911172320781977e-01,1.498936833125220913e-01,6.304026667733707567e-01,8.386879142092903971e-02,2.553227142120564341e-01,-5.353825705511169181e-02,2.641466537030805542e-02,2.177087223196205457e-01,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,3.448717948717948900e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00,1.345909623755944695e+00
-7.962708270071336969e-01,2.887030319440161974e-01,-1.802325752427725858e-01,1.451358487281827481e-01,-8.731796431018276627e-02,-1.350362605104559431e-02,3.301425512644259874e-01,-9.008824570079085881e-01,-2.677617038575716979e-01,-9.666904994889796016e-03,5.089056575305557217e-01,4.101948777760816567e-01,9.358640480923197114e-01,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851842e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851620e+00,1.607569107453851842e+00
-1.841192533121245034e-01,-5.744247001613300707e-01,8.180513013694695745e-01,1.257253098125438347e-02,5.630455474765024837e-01,-3.167126419393413994e-01,3.858788888711752740e-01,-6.104162773024194300e-01,8.488098205174804400e-02,2.264881845711149214e-02,3.054984163880055670e-01,-1.481589269827597033e-01,-6.942888929234883877e-01,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,3.506410256410256387e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00,1.715303646856860986e+00
5.034612501112797345e-01,-2.555511786509142014e-01,7.271573174578704890e-01,-1.127084336207925530e-01,2.178387195401348120e-01,-5.747903642825381576e-01,-2.027995237639929407e-02,-3.407551356918483432e-01,1.422604897513392586e-01,-1.333467643720248619e-01,2.597365336959203685e-01,9.288854769998954389e-03,-1.580900886039666997e-01,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,3.820512820512820706e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392469e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392247e+00,1.943058583803392469e+00,1.943058583803392247e+00
1.093942095548060323e+00,-3.507915515901887105e-01,-5.856663227884616463e-01,-2.071097340207862236e-01,1.256480975641276476e-01,-1.906450418954334092e-01,-1.128432274811454750e-01,-3.263464613653213608e-01,3.975607830078818627e-02,-2.958086151194521674e-01,-2.096046716875397953e-01,6.862089942622162653e-01,4.546035211515082608e-01,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,3.397435897435897356e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646540e+00,2.150371128312646984e+00
-5.803999293462654141e-02,2.387786494578488239e-01,-2.714297512797304579e-01,-1.899057122764619132e-01,4.498657661354014126e-01,-3.617927695262431742e-01,5.330457514217032955e-01,-5.921541444463064296e-01,4.831071653045898029e-01,3.362406432506524073e-02,3.891005465424071663e-01,-9.518088913160783759e-01,3.639117995412858853e-01,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,3.102564102564102644e+00,1.729011453075201876e+00,1.729011453075201876e+00,1.729011453075201876e+00,1.729011453075201876e+00,1.729011453075201876e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201654e+00,1.729011453075201876e+00
