# theta values for 2
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.979002983715030251e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.394709496362005696e-01,3.141025641025640969e+00,1.707632631589927952e+00
9.986032425871833873e-02,5.506410256410256387e+00,3.599317590007994561e+00
-1.698758389397632129e-01,5.788461538461538325e+00,3.123545026179708195e+00
3.361888608135168988e-01,4.500000000000000000e+00,2.191182797322498654e+00
3.006485641117092600e-01,4.961538461538461675e+00,3.206333106854379000e+00
2.021962961260238001e-01,6.006410256410256387e+00,2.894505836376544572e+00
1.455784289014810107e-01,6.705128205128205288e+00,3.270336665641684348e+00
4.213703497562776290e-02,3.724358974358974450e+00,2.055554444977222062e+00
-3.799078901750744808e-01,3.487179487179487225e+00,1.460976050134431103e+00
4.194075054758186760e-01,2.878205128205128194e+00,1.287727817623504745e+00
4.424290808250500029e-01,2.634615384615384581e+00,1.405513586492352474e+00
3.080338116318243752e-02,2.730769230769230838e+00,1.473466842683998967e+00
-2.606500867870581994e-01,3.397435897435897356e+00,1.603999357293684591e+00
-3.918701753423566303e-01,4.576923076923076650e+00,1.743259772698401155e+00
-6.363749529486617540e-01,3.448717948717948900e+00,1.345909623755944695e+00
-7.962708270071336969e-01,3.724358974358974450e+00,1.607569107453851620e+00
-1.841192533121245034e-01,3.506410256410256387e+00,1.715303646856860986e+00
5.034612501112797345e-01,3.820512820512820706e+00,1.943058583803392247e+00
1.093942095548060323e+00,3.397435897435897356e+00,2.150371128312646540e+00
-5.803999293462654141e-02,3.102564102564102644e+00,1.729011453075201876e+00
