# theta values for 6
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.253186824960092594e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.143521483871644318e-01,3.458333333333333481e+00,1.888837826107189422e+00
2.157112368541518055e-01,4.909722222222222321e+00,1.815875953471233428e+00
-7.326894189757003628e-02,3.798611111111111160e+00,1.861823557665049922e+00
-2.122312564451346029e-01,4.138888888888889284e+00,2.189340055026447907e+00
-3.375667611975563531e-01,3.284722222222222321e+00,2.327860231236583477e+00
-1.300691171028398319e-01,2.555555555555555358e+00,1.116652846791210019e+00
-7.124367197756659165e-01,2.798611111111111160e+00,1.004018738143471978e+00
-5.330462352091583922e-01,1.840277777777777679e+00,7.232564709973261508e-01
9.422793820332167058e-01,2.128472222222222321e+00,6.928366805352194069e-01
8.566881052153152432e-01,2.319444444444444642e+00,6.836663596799427145e-01
2.895964588885153665e-02,2.052083333333333481e+00,8.823476221925737883e-01
4.674962561541504691e-01,2.496527777777777679e+00,9.501398431023811986e-01
-1.036521449322218430e-01,3.399305555555555358e+00,1.042632653948765808e+00
