# theta values for 3
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.124902555386416481e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.224571362258102925e+00,4.228882833787466211e+00,1.909943749946959146e+00
-1.906340176726235569e-01,5.756130790190735702e+00,2.445411487928308869e+00
-4.581301088816055467e-01,5.712534059945504339e+00,1.998754614518226447e+00
-4.863947642344748079e-01,5.396457765667574513e+00,2.429280623211099055e+00
9.374538841463074812e-01,5.659400544959128254e+00,2.801043532732271579e+00
5.825810698615083716e-01,6.051771117166212299e+00,3.135459650093972428e+00
2.188675009496815205e-01,3.322888283378746532e+00,1.106381955346401602e+00
-1.073757732667252746e-01,4.614441416893733106e+00,9.452930293925561056e-01
-3.809592773341977101e-01,2.482288828337874786e+00,7.629622418693114971e-01
-2.951226804842425055e-01,2.505449591280653809e+00,7.997600130799434881e-01
5.192847900386587945e-01,3.143051771117166382e+00,1.169538186433788818e+00
3.039569665395105980e-01,3.513623978201634745e+00,1.242615111920531312e+00
-9.395670095042532033e-01,2.944141689373296789e+00,1.182703346609858874e+00
1.525341887837081412e-01,2.506811989100817595e+00,1.150444731003327670e+00
-8.481292818398210587e-01,3.162125340599454937e+00,1.478136338793161197e+00
8.439889293004894100e-01,4.610354223433242637e+00,1.351435460420168377e+00
