# theta values for 6
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.178689432423081662e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.010471389053751556e-01,3.141025641025640969e+00,1.707632631589927952e+00
6.213698410899404223e-01,5.506410256410256387e+00,3.599317590007994561e+00
4.209939566079148876e-01,5.788461538461538325e+00,3.123545026179708195e+00
1.091639806233631743e-01,4.500000000000000000e+00,2.191182797322498654e+00
-7.628149545514538443e-02,4.961538461538461675e+00,3.206333106854379000e+00
-4.962446788160094768e-01,6.006410256410256387e+00,2.894505836376544572e+00
-5.170334656634244935e-02,6.705128205128205288e+00,3.270336665641684348e+00
-5.804857345231744237e-01,3.724358974358974450e+00,2.055554444977222062e+00
-5.127006500156464641e-01,3.487179487179487225e+00,1.460976050134431103e+00
-1.533436614670659337e-01,2.878205128205128194e+00,1.287727817623504745e+00
-2.714367968559591726e-01,2.634615384615384581e+00,1.405513586492352474e+00
-4.271661773335865275e-01,2.730769230769230838e+00,1.473466842683998745e+00
-7.124188074186104114e-01,3.397435897435897356e+00,1.603999357293684591e+00
5.913938624673308331e-01,4.576923076923076650e+00,1.743259772698401155e+00
-2.610426966773718091e-02,3.448717948717948900e+00,1.345909623755944695e+00
-8.731796431018276627e-02,3.724358974358974450e+00,1.607569107453851620e+00
5.630455474765024837e-01,3.506410256410256387e+00,1.715303646856860986e+00
2.178387195401348120e-01,3.820512820512820706e+00,1.943058583803392247e+00
1.256480975641276476e-01,3.397435897435897356e+00,2.150371128312646540e+00
4.498657661354014126e-01,3.102564102564102644e+00,1.729011453075201876e+00
