# theta values for 5
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.372297288868447929e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.689294127083676544e-01,4.228882833787466211e+00,1.909943749946959146e+00
-4.863186034892473808e-01,5.756130790190735702e+00,2.445411487928309313e+00
-6.015832901214547279e-01,5.712534059945504339e+00,1.998754614518226447e+00
5.198380406593156033e-01,5.396457765667574513e+00,2.429280623211098611e+00
2.143131893113407183e-01,5.659400544959128254e+00,2.801043532732271579e+00
-6.872328756523036208e-01,6.051771117166212299e+00,3.135459650093972428e+00
2.293514218603787680e-01,3.322888283378746532e+00,1.106381955346401602e+00
-1.772108984453316938e-01,4.614441416893733106e+00,9.452930293925561056e-01
-7.707409452192918176e-01,2.482288828337874786e+00,7.629622418693114971e-01
-5.041540736292671188e-01,2.505449591280653809e+00,7.997600130799434881e-01
3.559918329038235241e-01,3.143051771117166382e+00,1.169538186433789040e+00
1.434646342846833955e-01,3.513623978201634745e+00,1.242615111920531312e+00
-5.033691551957705096e-02,2.944141689373296789e+00,1.182703346609858874e+00
6.473576520112669375e-01,2.506811989100817595e+00,1.150444731003327670e+00
-6.938585224520086303e-01,3.162125340599454937e+00,1.478136338793161197e+00
-2.759429189123218107e-01,4.610354223433242637e+00,1.351435460420168377e+00
