# theta values for 8
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.036091115906963012e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.346431772645943825e-01,4.228882833787466211e+00,1.909943749946959146e+00
1.307728154473164706e+00,5.756130790190735702e+00,2.445411487928308869e+00
1.179911145738597789e+00,5.712534059945504339e+00,1.998754614518226447e+00
1.229476060765038042e-01,5.396457765667574513e+00,2.429280623211098611e+00
3.971510969731152918e-01,5.659400544959128254e+00,2.801043532732271579e+00
-5.199877202426633760e-01,6.051771117166212299e+00,3.135459650093972428e+00
4.261841638624969120e-01,3.322888283378746532e+00,1.106381955346401602e+00
-9.178302881833950988e-02,4.614441416893733106e+00,9.452930293925561056e-01
-1.286622135940678202e-01,2.482288828337874786e+00,7.629622418693114971e-01
1.803854682994214143e+00,2.505449591280653809e+00,7.997600130799434881e-01
1.241426937716084561e-01,3.143051771117166382e+00,1.169538186433788818e+00
4.731060278903960747e-01,3.513623978201634745e+00,1.242615111920531534e+00
3.421784593984013023e-01,2.944141689373296789e+00,1.182703346609858874e+00
-5.204872808548784147e-02,2.506811989100817595e+00,1.150444731003327670e+00
2.752509751163095819e-01,3.162125340599454937e+00,1.478136338793161197e+00
5.326707418981002640e-01,4.610354223433242637e+00,1.351435460420168377e+00
