# theta values for 2
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.094993916042532156e+00,0.000000000000000000e+00,1.000000000000000000e+00
-4.494848209541812412e-01,4.228882833787466211e+00,1.909943749946959146e+00
-2.879792868553185947e-01,5.756130790190735702e+00,2.445411487928308869e+00
3.879753620284578930e-02,5.712534059945504339e+00,1.998754614518226447e+00
1.857669661982732645e-01,5.396457765667574513e+00,2.429280623211098611e+00
7.962203858853283966e-01,5.659400544959128254e+00,2.801043532732271579e+00
3.343616191227294365e-01,6.051771117166212299e+00,3.135459650093972872e+00
-5.467002250045191469e-02,3.322888283378746532e+00,1.106381955346401602e+00
6.823104782490438946e-01,4.614441416893733106e+00,9.452930293925561056e-01
-3.006385093427634339e-02,2.482288828337874786e+00,7.629622418693114971e-01
-1.428198175485410892e-01,2.505449591280653809e+00,7.997600130799434881e-01
-7.071815081289313243e-01,3.143051771117166382e+00,1.169538186433788818e+00
-6.606336363714671034e-01,3.513623978201634745e+00,1.242615111920531312e+00
1.266317565060721684e-01,2.944141689373296789e+00,1.182703346609858874e+00
3.569584587067619469e-02,2.506811989100817595e+00,1.150444731003327670e+00
1.685908954022237616e+00,3.162125340599454937e+00,1.478136338793161197e+00
5.642498621460952934e-01,4.610354223433242637e+00,1.351435460420168377e+00
