# theta values for 7
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.183758273141079620e+00,0.000000000000000000e+00,1.000000000000000000e+00
-4.340337181513327369e-01,4.228882833787466211e+00,1.909943749946959146e+00
3.576565864926734561e-01,5.756130790190735702e+00,2.445411487928308869e+00
2.907970213175535834e-01,5.712534059945504339e+00,1.998754614518226447e+00
-3.324022341425669214e-01,5.396457765667574513e+00,2.429280623211098611e+00
-3.319214025067512286e-01,5.659400544959128254e+00,2.801043532732271579e+00
-1.542747822383586098e-01,6.051771117166212299e+00,3.135459650093972428e+00
1.109000634986768485e+00,3.322888283378746532e+00,1.106381955346401602e+00
4.023122053000573461e-01,4.614441416893733106e+00,9.452930293925561056e-01
6.346537365897560179e-02,2.482288828337874786e+00,7.629622418693114971e-01
1.937626015110909816e-01,2.505449591280653809e+00,7.997600130799434881e-01
-7.945808608797612083e-01,3.143051771117166382e+00,1.169538186433789040e+00
-2.142752050289412624e-01,3.513623978201634745e+00,1.242615111920531534e+00
-1.257900559865413048e-01,2.944141689373296789e+00,1.182703346609858874e+00
-1.094922025355721945e-01,2.506811989100817595e+00,1.150444731003327448e+00
-3.396222423386851541e-01,3.162125340599454937e+00,1.478136338793161197e+00
-1.059943120566540831e+00,4.610354223433242637e+00,1.351435460420168599e+00
